,Date,Price,Open,High,Low,Vol.,Change %,Vol
334,"May 03, 2021",42.2650,42.5760,44.6290,41.8940,,-0.14%,4.84M
335,"May 02, 2021",42.3240,40.3170,42.7530,39.3970,,5.02%,4.15M
336,"May 01, 2021",40.3000,40.5870,40.8940,39.6130,,-0.88%,3.16M
337,"Apr 30, 2021",40.6590,41.0380,41.0380,40.0110,,-0.95%,4.31M
338,"Apr 29, 2021",41.0500,42.8760,42.9470,40.4290,,-4.17%,4.43M
339,"Apr 28, 2021",42.8370,39.6880,42.8370,39.3860,,8.15%,7.12M
340,"Apr 27, 2021",39.6080,38.1770,40.0460,37.9690,,3.71%,5.39M
341,"Apr 26, 2021",38.1900,34.3710,38.1900,34.3710,,12.67%,5.29M
342,"Apr 25, 2021",33.8960,30.2007,34.6030,30.2007,,12.34%,4.65M
343,"Apr 24, 2021",30.1715,32.9186,32.9186,30.1293,,-8.40%,3.10M
344,"Apr 23, 2021",32.9372,33.7280,33.7280,31.4418,,-3.00%,9.04M
345,"Apr 22, 2021",33.9543,33.7294,38.2183,33.7294,,1.62%,11.20M
346,"Apr 21, 2021",33.4146,32.0011,35.3117,31.6882,,4.45%,6.86M
347,"Apr 20, 2021",31.9898,31.4738,31.9898,29.4971,,1.81%,3.66M
348,"Apr 19, 2021",31.4223,31.6225,32.5459,29.7389,,-0.90%,3.94M
349,"Apr 18, 2021",31.7062,34.7959,34.7959,28.2315,,-8.92%,6.69M
350,"Apr 17, 2021",34.8123,36.1468,37.3382,34.8123,,-3.62%,2.73M
351,"Apr 16, 2021",36.1211,37.5735,37.5735,35.7914,,-4.30%,4.00M
352,"Apr 15, 2021",37.7447,36.1831,39.0600,36.0553,,4.52%,5.46M
353,"Apr 14, 2021",36.1112,35.4914,36.4329,34.1658,,1.95%,4.60M
354,"Apr 13, 2021",35.4216,36.8928,36.8928,34.5256,,-3.46%,5.46M
355,"Apr 12, 2021",36.6907,29.9661,36.7115,29.9551,,22.71%,10.50M
356,"Apr 11, 2021",29.9003,29.8332,30.2872,29.2697,,0.45%,2.33M
