,Date,Price,Open,High,Low,Vol.,Change %,Vol
276,"Jun 30, 2021",337.60,311.09,337.60,289.52,,9.32%,95.56K
277,"Jun 29, 2021",308.83,313.30,325.61,308.83,,-0.35%,116.13K
278,"Jun 28, 2021",309.93,257.80,309.93,250.33,,20.60%,213.39K
279,"Jun 27, 2021",256.98,225.35,256.98,225.35,,14.19%,57.46K
280,"Jun 26, 2021",225.04,222.72,226.84,214.23,,1.36%,50.33K
281,"Jun 25, 2021",222.01,256.94,258.48,222.01,,-13.38%,46.94K
282,"Jun 24, 2021",256.30,242.14,256.30,228.52,,5.94%,57.91K
283,"Jun 23, 2021",241.92,234.88,265.46,233.59,,3.30%,80.85K
284,"Jun 22, 2021",234.19,221.83,239.79,202.63,,5.43%,92.71K
285,"Jun 21, 2021",222.13,294.68,294.68,222.13,,-24.12%,61.04K
286,"Jun 20, 2021",292.75,272.53,293.24,264.78,,7.20%,38.03K
287,"Jun 19, 2021",273.10,278.10,284.18,272.00,,-1.61%,16.87K
288,"Jun 18, 2021",277.58,305.92,306.12,271.13,,-9.46%,36.35K
289,"Jun 17, 2021",306.59,304.77,320.49,300.32,,0.64%,22.64K
290,"Jun 16, 2021",304.63,324.50,324.50,304.63,,-6.47%,31.15K
291,"Jun 15, 2021",325.71,337.24,346.30,324.92,,-3.21%,36.17K
292,"Jun 14, 2021",336.50,324.61,337.63,321.00,,3.85%,39.37K
293,"Jun 13, 2021",324.02,295.83,326.54,288.73,,9.60%,31.57K
294,"Jun 12, 2021",295.63,293.34,304.13,281.15,,0.19%,40.81K
295,"Jun 11, 2021",295.06,327.86,327.86,295.06,,-9.75%,29.76K
296,"Jun 10, 2021",326.94,364.04,364.04,326.94,,-10.15%,46.34K
297,"Jun 09, 2021",363.89,350.02,372.16,334.82,,3.68%,54.22K
298,"Jun 08, 2021",350.99,343.18,350.99,318.81,,2.47%,50.38K
299,"Jun 07, 2021",342.54,388.28,410.62,342.54,,-11.89%,37.83K
300,"Jun 06, 2021",388.77,386.65,393.92,379.96,,0.41%,20.14K
301,"Jun 05, 2021",387.18,402.17,413.75,383.81,,-3.61%,27.99K
302,"Jun 04, 2021",401.68,448.84,448.84,393.54,,-10.60%,44.73K
303,"Jun 03, 2021",449.29,433.88,451.09,429.71,,3.30%,33.58K
304,"Jun 02, 2021",434.95,427.80,449.41,418.15,,1.87%,32.31K
305,"Jun 01, 2021",426.97,432.41,438.17,419.68,,-2.25%,34.27K
306,"May 31, 2021",436.82,403.39,436.82,393.06,,7.47%,42.61K
307,"May 30, 2021",406.47,352.90,409.25,338.60,,14.81%,41.11K
308,"May 29, 2021",354.05,375.70,394.92,338.23,,-6.23%,41.80K
309,"May 28, 2021",377.56,420.50,420.50,361.48,,-10.37%,49.06K
310,"May 27, 2021",421.23,462.79,462.79,416.83,,-8.88%,46.57K
311,"May 26, 2021",462.28,428.98,462.28,426.83,,8.35%,58.00K
312,"May 25, 2021",426.67,426.32,426.67,380.72,,0.20%,88.93K
313,"May 24, 2021",425.82,341.90,425.82,341.90,,25.00%,78.30K
314,"May 23, 2021",340.66,384.44,391.25,285.62,,-11.26%,127.09K
315,"May 22, 2021",383.87,448.18,453.29,375.31,,-14.39%,88.78K
316,"May 21, 2021",448.41,546.87,582.53,418.79,,-17.66%,109.05K
317,"May 20, 2021",544.58,482.13,570.17,448.30,,15.01%,96.29K
318,"May 19, 2021",473.50,671.00,671.00,387.26,,-28.98%,171.01K
319,"May 18, 2021",666.75,699.36,720.15,655.44,,-3.96%,66.28K
320,"May 17, 2021",694.27,684.10,697.63,628.98,,1.34%,64.02K
321,"May 16, 2021",685.08,690.19,728.80,635.61,,-0.44%,55.26K
322,"May 15, 2021",688.13,774.17,774.17,688.13,,-11.22%,45.16K
